                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0321,                 2.1826,                 1.2987,                0.59518,                0.44727,                0.49918,                0.36039,                 1.0425,                 2.3944,                 1.4016,             0.00054685,             0.00054685,             0.00054685
                      2,                 1.1599,                 1.7824,                 1.3868,                0.49222,                0.45656,                0.46685,                0.24527,                 1.7621,                 2.5423,                 2.2302,              0.0010479,              0.0010479,              0.0010479
                      3,                  1.251,                 1.8104,                 1.4536,                0.57683,                0.47475,                0.45156,                0.25532,                  1.682,                 3.1976,                 2.1094,               0.001494,               0.001494,               0.001494
                      4,                 1.2571,                 1.7149,                 1.4508,                 0.3692,                0.51339,                0.34921,                0.18662,                 1.4153,                 3.0931,                 1.8679,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.2439,                 1.6863,                 1.4683,                0.32549,                0.68287,                0.41457,                0.24914,                 1.4051,                  2.341,                 1.8106,              0.0014195,              0.0014195,              0.0014195
                      6,                 1.2212,                 1.5748,                 1.4279,                0.41871,                0.46134,                0.39323,                0.24461,                 1.4627,                 2.7132,                  1.819,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.2274,                 1.5188,                 1.4368,                0.55354,                0.62596,                0.62407,                0.38766,                  1.398,                 1.9831,                 1.7745,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.1308,                 1.4174,                 1.3696,                0.58291,                0.60984,                0.60179,                0.41926,                 1.2882,                 1.7466,                 1.5982,              0.0011719,              0.0011719,              0.0011719
                      9,                  1.148,                 1.3535,                 1.3944,                0.59271,                0.51284,                0.52568,                0.34885,                 1.3082,                  1.844,                 1.5983,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.0814,                 1.2876,                 1.3292,                0.55232,                0.61339,                0.60537,                0.43436,                 1.1962,                 1.8247,                 1.5451,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.1154,                 1.3685,                 1.3935,                0.67658,                 0.6534,                0.66076,                0.48324,                 1.2041,                 1.7356,                 1.5347,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.0776,                 1.2412,                 1.3487,                0.66449,                0.61311,                0.65267,                0.48144,                  1.128,                 1.6237,                 1.4637,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.0288,                 1.1642,                 1.3165,                0.59923,                0.67567,                0.68171,                  0.486,                 1.1818,                 1.5597,                 1.5161,             0.00075932,             0.00075932,             0.00075932
                     14,                0.99216,                 1.0814,                 1.2768,                0.75445,                0.66628,                0.73632,                0.56666,                 1.0105,                 1.3454,                 1.3953,              0.0006768,              0.0006768,              0.0006768
                     15,                0.96752,                 1.0207,                 1.2635,                0.66642,                 0.6623,                0.69124,                0.52956,                 1.0586,                 1.4639,                  1.398,             0.00059429,             0.00059429,             0.00059429
                     16,                0.94844,                 1.0071,                 1.2362,                0.70533,                0.66639,                0.69166,                 0.5371,                 1.0634,                 1.3642,                 1.4389,             0.00051177,             0.00051177,             0.00051177
                     17,                0.92103,                0.93697,                 1.2256,                 0.7385,                0.65355,                0.72392,                0.54131,                 1.0081,                 1.3876,                 1.3639,             0.00042925,             0.00042925,             0.00042925
                     18,                0.89561,                0.87071,                 1.2017,                0.77877,                0.68242,                0.73484,                0.56018,                 1.0454,                 1.4347,                 1.4099,             0.00034674,             0.00034674,             0.00034674
                     19,                 0.8704,                0.82488,                 1.1844,                0.71111,                0.71571,                0.74099,                0.59848,                0.97294,                 1.3771,                 1.3182,             0.00026422,             0.00026422,             0.00026422
                     20,                0.82438,                0.80417,                 1.1557,                0.72012,                0.72712,                0.75345,                0.60871,                0.98751,                 1.3177,                 1.3291,              0.0001817,              0.0001817,              0.0001817
